Item Type,title,year,issue_date,publisher,address,volume,number,url,doi,abstract,journal,month,articleno,numpages,keywords,Authors,isbn,booktitle,pages,location,series,issn
inproceedings,Simultaneous Real-Time Human Fall Detection and Reidentification Based on Multisensors Data,2022,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3529190.3534728,10.1145/3529190.3534728,"Fall detection and reidentification are active areas of research with a wide variety of applications in many fields. Nowadays, wearable devices capable of recording multisensors measurements are being increasingly introduced in people’s daily lives, such as smartphones and smartwatches. Often, these devices are used in healthcare rehabilitation scenarios to monitor patients activities and, eventually, detect important events like falls. In some cases, the equipped Inertial Measurements Unit (IMU) lacks of gyroscope and magnetometer, allowing to acquire only accelerations measures. In this conditions, the detection tasks become more complex and many false detections can arise. Additionally, other methods, such as monitoring cameras, are usually used in the environment to overcome this problem and further track the patients. But, due to the lack of personal identifiers in the camera tracking system, it is not straightforward to associate falls, when detected, to a particular person. In this paper, we propose a complete real-time system to detect falls reducing false positives and simultaneously reidentify the patients using 3D skeleton points, given by a tracking camera, and 3-axis accelerometer data. Firstly, the system performs fall detection by means of a mathematical analysis of the skeleton points evolution along different frames. At the same time, fall detection is computed on the acceleration data using a Finite State Machine approach. If a fall is detected with both mechanisms, reidentification is carried out to associate the skeleton with the wearable device. A dataset of fall sequences has been recorded and is available for testing purposes. The final accuracy of our fall detection and reidentification algorithm is 100% on our dataset.",,,,6,"Reidentification, Multisensor Data, Matching, Fall detection, Accelerometer, 3D Skeleton Joints","Bastico, Matteo; Ruiz, Ver\'{o}nica; Belmonte-Hern\'{a}ndez, Alberto",9781450396318,Proceedings of the 15th International Conference on PErvasive Technologies Related to Assistive Environments,365–370,"Corfu, Greece",PETRA '22,
article,Toward Device-free and User-independent Fall Detection Using Floor Vibration,2023,February 2023,Association for Computing Machinery,"New York, NY, USA",19,1,https://doi.org/10.1145/3519302,10.1145/3519302,"The inevitable aging trend of the world’s population brings a lot of challenges to the health care for the elderly. For example, it is difficult to guarantee timely rescue for single-resided elders who fall at home. Under this circumstance, a reliable automatic fall detection machine is in great need for emergent rescue. However, the state-of-the-art fall detection systems are suffering from serious privacy concerns, having a high false alarm, or being cumbersome for users. In this article, we propose a device-free fall detection system, namely G-Fall, based on floor vibration collected by geophone sensors. We first decompose the falling mode and characterize it with time-dependent floor vibration features. By leveraging Hidden Markov Model (HMM), our system is able to detect the fall event precisely and achieve user-independent detection. It requires no training from the elderly but only an HMM template learned in advance through a small number of training samples. To reduce the false alarm rate, we propose a novel reconfirmation mechanism using Energy-of-Arrival (EoA) positioning to assist in detecting the human fall. Extensive experiments have been conducted on 24 human subjects. On average, G-Fall achieves a 95.74% detection precision on the anti-static floor and 97.36% on the concrete floor. Furthermore, with the assistance of EoA, the false alarm rate is reduced to nearly 0%.",ACM Trans. Sen. Netw.,February,5,20,"user-independent, device-free, geophone, floor vibration, Fall detection","Wu, Kaishun; Huang, Yandao; Qiu, Minghui; Peng, Zhenkan; Wang, Lu",,,,,,1550-4859
inproceedings,A Deep Learning Based Human Fall Detection Solution,2022,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3529190.3529221,10.1145/3529190.3529221,"Automatic human fall detection is a challenging task in healthcare. Using deep learning models in conjunction with cameras have been proven to be more accurate and efficient in detecting falls in comparison to wearable technology and other more intrusive alternatives. In this paper, we propose a long-term recurrent convolutional network (LRCN) architecture for human fall detection, which consists of a custom convolutional neural network specifically designed to address the challenges of this task and the limited amount of available data, followed by a long short-term memory (LSTM) neural network which decodes sequential information to determine if there has been a fall. Performance evaluations show that our LRCN architecture outperforms the existing state-of-the-art method by 11.20%.",,,,4,"smart home, deep learning, Fall detection","Tohidypour, Hamid; Shojaei-Hashemi, Anahita; Nasiopoulos, Panos; Pourazad, Mahsa",9781450396318,Proceedings of the 15th International Conference on PErvasive Technologies Related to Assistive Environments,89–92,"Corfu, Greece",PETRA '22,
inproceedings,Research on the Application of Fall Detection Technology Based on the Security Field of the Smart Care for the Elderly,2022,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3512826.3512832,10.1145/3512826.3512832,"Abstract. The security of the elderly in an aging society has become a social problem attracting much attention, among which the problem of secondary injury caused by the fall has attracted wide concern of researchers. The application of fall detection combined with artificial intelligence technology has become an important application in the security field of smart care for the elderly. After analyzing and judging the human body features, this paper found out that the combination of human skeleton and fall detection technology could be used to identify the fall behavior and link it with the alarm system to solve the security problem of smart care for the elderly. The experimental results showed that the recognition rate of fall detection was increased by 2% after adding optimization of genetic algorithm factors and contrast calculation of prediction frame length in the process of human feature target detection.",,,,5,"Keywords. Smart Care for the Elderly, Human Features, Genetic Algorithm, Fall Detection","Chen, Zhiwen; Ji, Yong; Ren, Yuanhong",9781450395489,Proceedings of the 2022 3rd International Conference on Artificial Intelligence in Electronics Engineering,75–79,"Bangkok, Thailand",AIEE '22,
inproceedings,Real-Time Privacy Preserving Human Activity Recognition on Mobile using 1DCNN-BiLSTM Deep Learning,2023,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3591156.3591159,10.1145/3591156.3591159,"Human Activity Recognition (HAR) from sensors has real-world applications such as fall detection of elderly or improvement in human-robot interactions, but privacy is of concern in videos of such applications. We investigated the feasibility of developing a real-time HAR mobile application that detects 3 different human poses: standing, sitting and lying, while preserving privacy by a facial detection method that also masks faces in the video. We proposed a hybrid 1-Dimensional Convolutional Neural Network with Bidirectional Long Short-Term Memory (1DCNN-BiLSTM) algorithm to recognise these 3 poses. We trained our proposed 1DCNN-BiLSTM algorithm using RGB videos from 3 public datasets (URFall, NTU RGB+D, Fall Detection) whereby features were extracted using MoveNet. The results yielded 82.1% test accuracy and 0.930 macro average AUC-ROC score on the combined dataset, hence demonstrating feasibility of deploying the proposed algorithm for balanced as well as imbalanced datasets. We then implemented our proposed 1DCNN-BiLSTM algorithm with face detection and masking in a mobile application. The results showed that the mobile application could perform human pose detection inference in real time (3 people at 23.0-25.3 FPS). Hence this study showed promise of a larger scale-study of these HAR systems, such as monitoring potential falls in video surveillance.",,,,9,"Real-Time Mobile Application, Human Activity Recognition, Deep Learning, Computer Vision","Singh, Ishneet; Kaza, Pradyoth; Hosler, Peter; Chin, Zheng; Ang, Kai",9781450398381,"Proceedings of the 2023 5th International Conference on Image, Video and Signal Processing",18–26,"Singapore, Singapore",IVSP '23,
inproceedings,A Cross-dataset Evaluation of Wearable Fall Detection Systems,2022,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3529190.3529191,10.1145/3529190.3529191,"The popularity of wearables and their seamless integration into our daily lives have transformed these devices into an appealing resource to deploy automatic fall detection systems. During last years, a massive literature on new methods and algorithms for these wearable detectors has been produced. However, in most cases these algorithms are tested against one single (or at best two) datasets containing signals captured from falls and conventional movements. This work evaluates the behavior of a fall detection system based on a convolutional neural network when different public repositories of movements are alternatively used for training and testing the model. After a systematic cross-dataset evaluation involving four well-known datasets, we show the difficulty of extrapolating the results achieved by a certain classifier for a particular database when another dataset is considered. Results seem to indicate that classification methods tend to overlearn the particular conditions (typology of movements, characteristics of the employed sensor, experimental subjects) under which the training samples were generated.",,,,6,"Wearables, Fall Detection System, Cross-dataset evaluation, Convolutional Neural Networks, Accelerometer","Santoyo-Ram\'{o}n, Jose; Casilari, Eduardo; Cano-Garc\'{\i}a, Jose",9781450396318,Proceedings of the 15th International Conference on PErvasive Technologies Related to Assistive Environments,1–6,"Corfu, Greece",PETRA '22,
inproceedings,TADAR: Thermal Array-based Detection and Ranging for Privacy-Preserving Human Sensing,2024,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3641512.3686357,10.1145/3641512.3686357,"Human sensing has gained increasing attention in various applications. Among the available technologies, visual images offer high accuracy, while sensing on the RF spectrum preserves privacy, creating a conflict between imaging resolution and privacy preservation. In this paper, we explore thermal array sensors as an emerging modality that strikes an excellent resolution-privacy balance for ubiquitous sensing. To this end, we present TADAR, the first multi-user Thermal Array-based Detection and Ranging system that estimates the inherently missing range information, extending thermal array outputs from 2D thermal pixels to 3D depths and empowering them as a promising modality for ubiquitous privacy-preserving human sensing. We prototype TADAR using a single commodity thermal array sensor and conduct extensive experiments in different indoor environments. Our results show that TADAR achieves a mean F1 score of 88.8% for multi-user detection and a mean accuracy of 32.0 cm for multi-user ranging, which further improves to 20.1 cm for targets located within 3 m. We conduct two case studies on fall detection and occupancy estimation to showcase the potential applications of TADAR. We hope TADAR will inspire the vast community to explore new directions of thermal array sensing, beyond wireless and acoustic sensing. TADAR is open-sourced on GitHub: https://github.com/aiot-lab/TADAR.",,,,10,"human sensing, thermal array, detection and ranging","Zhang, Xie; Wu, Chenshu",9798400705212,"Proceedings of the Twenty-Fifth International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing",11–20,"Athens, Greece",MobiHoc '24,
inbook,Research on the Application of Multi-source Data Fusion in Smart Elderly Care Health Monitoring Systems,2026,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3777577.3777597,,"The field of smart elderly care faces challenges posed by the limitations of traditional monitoring methods and data fragmentation. Multi-source data fusion technology offers a novel approach to addressing fragmented health monitoring. This study focuses on home-based care scenarios, integrating data from wearable devices, environmental sensors, and health records to construct a dynamic collaborative monitoring framework. By leveraging the complementary strengths of heterogeneous data, this framework breaks down information silos, aiming to enhance response speed to abnormal events and improve the precision of chronic disease management. The technological core centers on feature-level fusion and lightweight privacy protection mechanisms, providing a practical technical solution to meet the health service demands of an aging society.",,,,7,,"Bai, Xiao; Peng, Nianjiao; Zhou, Fangfang; Guo, Cheng; Wei, Qianwen; Luo, Yingqi; Lu, Rongzhen",9798400715112,Proceedings of the 2025 6th International Symposium on Artificial Intelligence for Medical Sciences,125–131,,,
article,Waffle: A Waterproof mmWave-based Human Sensing System inside Bathrooms with Running Water,2024,December 2023,Association for Computing Machinery,"New York, NY, USA",7,4,https://doi.org/10.1145/3631458,10.1145/3631458,"The bathroom has consistently ranked among the most perilous rooms in households, with slip and fall incidents during showers posing a critical threat, particularly to the elders. To address this concern while ensuring privacy and accuracy, the mmWave-based sensing system has emerged as a promising solution. Capable of precisely detecting human activities and promptly triggering alarms in response to critical events, it has proved especially valuable within bathroom environments. However, deploying such a system in bathrooms faces a significant challenge: interference from running water. Similar to the human body, water droplets reflect substantial mmWave signals, presenting a major obstacle to accurate sensing. Through rigorous empirical study, we confirm that the interference caused by running water adheres to a Weibull distribution, offering insight into its behavior. Leveraging this understanding, we propose a customized Constant False Alarm Rate (CFAR) detector, specifically tailored to handle the interference from running water. This innovative detector effectively isolates human-generated signals, thus enabling accurate human detection even in the presence of running water interference. Our implementation of ""Waffle"" on a commercial off-the-shelf mmWave radar demonstrates exceptional sensing performance. It achieves median errors of 1.8cm and 6.9cm for human height estimation and tracking, respectively, even in the presence of running water. Furthermore, our fall detection system, built upon this technique, achieves remarkable performance (a recall of 97.2% and an accuracy of 97.8%), surpassing the state-of-the-art method.",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,January,201,29,"Bathroom, Fall Detection, Radar Point cloud, Target Detection, mmWave Radar Sensing","Zhang, Xusheng; Zhang, Duo; Xie, Yaxiong; Wu, Dan; Li, Yang; Zhang, Daqing",,,,,,
inproceedings,Privacy-Enhancing Fall Detection from Remote Sensor Data Using Multi-Party Computation,2019,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3339252.3340500,10.1145/3339252.3340500,"Motion-based fall detection systems are concerned with detecting falls from vulnerable users, which is typically performed by classifying measurements from a body-worn inertial measurement unit (IMU) using machine learning. Such systems, however, necessitate the collection of high-resolution measurements that may violate users' privacy, such as revealing their gait, activities of daily living (ADLs), and relative position using dead reckoning. In this paper, we investigate the application of multi-party computation (MPC) to IMU-based fall detection for protecting device measurement confidentiality. Our system is evaluated in a cloud-based setting that precludes parties from learning the underlying data using multiple, disparate cloud instances deployed in three geographical configurations. Using a publicly-available dataset, we demonstrate that MPC-based fall detection from IMU measurements is practical while achieving state-of-the-art error rates. In the best case, our system executes in 365.2 milliseconds, which falls well within the required time window for on-device data acquisition (750ms).",,,73,10,"multi-party computation (MPC), cloud computing, Internet of Things (IoT), Fall detection","Mainali, Pradip; Shepherd, Carlton",9781450371643,"Proceedings of the 14th International Conference on Availability, Reliability and Security",,"Canterbury, CA, United Kingdom",ARES '19,
article,Pervasive Pose Estimation for Fall Detection,2022,July 2022,Association for Computing Machinery,"New York, NY, USA",3,3,https://doi.org/10.1145/3478027,10.1145/3478027,"Falls are the second leading cause of accidental or unintentional injuries/deaths worldwide. Accurate pose estimation using commodity mobile devices will help early detection and injury assessment of falls, which are essential for the first aid of elderly falls. By following the definition of fall, we propose a Pervasive Pose Estimation scheme for fall detection (P ( ^2 ) Est), which measures changes in tilt angle and height of the human body. For the tilt measurement, P ( ^2 ) Est leverages the pointing of the mobile device, e.g., the smartphone, when unlocking to associate the Device coordinate system with the World coordinate system. For the height measurement, P ( ^2 ) Est exploits the fact that the person’s height remains unchanged while walking to calibrate the pressure difference between the device and the floor. We have prototyped and tested P ( ^2 ) Est in various situations and environments. Our extensive experimental results have demonstrated that P ( ^2 ) Est can track the body orientation irrespective of which pocket the phone is placed in. More importantly, it enables the phone’s barometer to detect falls in various environments with decimeter-level accuracy.",ACM Trans. Comput. Healthcare,April,27,23,"transformation, pose estimation, fall detection, Pervasive","Luo, Jiaqing; Bai, Ruiyu; He, Suining; Shin, Kang",,,,,,
inproceedings,Syncope Detection in Toilet Environments Using Wi-Fi Channel State Information,2018,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3267305.3267650,10.1145/3267305.3267650,"Syncope and strokes in toilets can lead to severe injuries, and even pose life threats to patients. However, owing to privacy concerns, vision-based fall detection cannot be applied in such a scenario. In this poster, we propose ToiFall, a prototype for syncope detection in toilet environments. ToiFall collects Channel State Information (CSI) of commodity Wi-Fi devices. Different human movements form various textures on CSI images, and such textures can be used for feature extraction and classification. Experimental results show an accuracy of over 98% for fall detection with satisfying reliability.",,,,4,"Fall detection, Channel state information, Action recognition","Wang, Ziqi; Gu, Zhihao; Yin, Junwei; Chen, Zhe; Xu, Yuedong",9781450359665,Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers,287–290,"Singapore, Singapore",UbiComp '18,
article,A Systematic Review of Digital Twin Technology for Home Care,2024,October 2024,Association for Computing Machinery,"New York, NY, USA",5,4,https://doi.org/10.1145/3681797,10.1145/3681797,"The concept of digital twin has captured significant attention in recent years, and its potential application within the domain of home care has been explored in several studies. This review endeavors to provide a comprehensive overview of digital twin technology and its applications in the realm of home care, delineating the key attributes and challenges entailed in their implementation. A systematic search was conducted across five databases, namely ACM digital library, IEEE Xplore, PubMed, Scopus, and Web of Science. Findings from forty-five included articles were categorized employing a systematic approach, highlighting the technology's deployment in remote older adults’ care monitoring, health issue prediction and personalized treatment planning. Furthermore, this review identified the challenges of integrating digital twins into the home care sector. Despite recognition of its potential, there is a distinct lack in the literature of in-depth studies specifically exploring the implementation of digital twin technology in home care, highlighting the need for further research.",ACM Trans. Comput. Healthcare,November,20,24,"Human Activity Recognition, Social Care, Cloud Computing, Physiological Signals, Human-Computer Interaction (HCI)","Zafar, Raja; Rybarczyk, Yves; Borg, Johan",,,,,,
inproceedings,GUFO: Three studies in the initial development of an assistive drone for older people living independently,2024,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3679318.3685409,10.1145/3679318.3685409,"Drones have the potential to provide support to older people who are living independently, but little research has as yet explored this topic. This paper presents three studies with older people to explore their attitudes to having a drone (called GUFO) as a technology in their home and how it could be useful to them. In the first study, a “marionette drone” was demonstrated to participants, showing them how the drone would move and generally establishing how close they would be comfortable to have it. An adaptation for drone of the Negative Attitudes towards Robots (NARS) Questionnaire showed that participants were positive about the idea of a drone in their home, a view confirmed by semi-structured interviews. In a second study, two different drones were flown to demonstrate aspects of the GUFO system: its noise and airflow and its ability to fetch small objects. Half of the participants were concerned about noise and airflow, but the other half were either not concerned or thought the noise a useful indication of where the drone was located. The ability to find rather than fetch objects was considered very useful. A third study demonstrated a full working version of the drone in a larger prototype and the ability of the system to detect a person who has fallen. The size of this version did concern some participants. Attitudes to drones were measured in this study using a adapted version of the Almere model, and again were found to be generally positive. Implications for the further development of drone technology for older people living independently are discussed.",,,73,16,"Ageing in place, Ambient Assisted Living, Drones, Older people, Unmanned autonomous vehicles","Samaddar, Sanjit; Petrie, Helen",9798400709661,Proceedings of the 13th Nordic Conference on Human-Computer Interaction,,"Uppsala, Sweden",NordiCHI '24,
inproceedings,Wearable camera for fall detection embedded system,2019,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3368756.3369053,10.1145/3368756.3369053,"The fall is one of the major problems that threaten the health of the elderly. According to world statistics, between 28% and 35% of seniors aged over 65 suffer from at least one fall per year. Continuous monitoring and early detection of critical events such as falls, allow for rapid response and immediate medical management. For this, several fall detection devices have been designed by the researchers. In this paper, we propose a fall detection system based on a portable camera. The camera is worn by the user, which allows him to follow his activity wherever he moves, whether indoors or outdoors. In addition, since it is the environment and not the individual that is being observed, the privacy issue is mitigated. The proposed fall detection method is a new approach based on the original Histogram of Oriented Gradient version (HOG) that we combine with the Optical Flow to improve system performance in detecting true falls. Our method has been implemented on a Raspberry embedded on the developed device, which allows us to parallelize the calculations and thus to answer the real time constraint. The results of the 20 tests performed on 09 subjects; show that the falls can be detected with a sensitivity of 95% from the standing position. The combination of optical flow with HOG has improved the specificity, for the rotation scenario, by increasing it by 50% compared to the use of HOG alone. As a result, we have achieved a specificity of 90%. Experimental results show the success of the proposed method.",,,70,6,"portable camera, optical flow, histogram of oriented gradient, fall detection, embedded system","Boudouane, Isma; Makhlouf, Amina; Saadia, Nadia; Ramdane-Cherif, Amar",9781450362894,Proceedings of the 4th International Conference on Smart City Applications,,"Casablanca, Morocco",SCA '19,
inproceedings,WiFi Sensing with Single-Antenna Devices for Ambient Assisted Living,2023,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3615834.3615841,10.1145/3615834.3615841,"The absolute coverage WiFi networks is higher than it has ever been and WiFi sensing offers a device-free, contactless alternative to intrusive wearable devices for a variety of applications, in particular for ambient assisted living (AAL). However, a majority of sensing systems proposed in literature use multiple antennas for sensing, resulting in high cost that hinders development of such solutions in real life. This work surveys existing single-antenna systems as a low-cost solution in an AAL scenario. The capabilities of these systems are examined regarding their practical applicability based on testing in AAL environments, leveraging multiple links (i.e. transmitter-receiver pairs) and considering mobile and repositioned receivers. It is found that while the AAL use-cases of respiration monitoring, fall detection and activity recognition are realised by existing systems, further testing in realistic AAL environments with the inclusion of activities of daily living is needed. Additionally the full use of multiple links and consideration of a mobile receiver is still rare, but shows promising improvements. A multi-task system enabling all three applications is discussed using the Model for Ethical Evaluation of Socio-Technical Arrangements (MEESTAR). We suggest an ethically sensitive use, but identify a need for mitigation strategies to address privacy-related concerns of potentially unwilling users.",,,3,8,"WiFi sensing, ambient assisted living, social aspects of security and privacy, ubiquitous computing","Schumann, Robert; Li, Frederic; Grzegorzek, Marcin",9798400708169,Proceedings of the 8th International Workshop on Sensor-Based Activity Recognition and Artificial Intelligence,,"L\""{u}beck, Germany",iWOAR '23,
article,Fall Detection via Inaudible Acoustic Sensing,2021,Sept 2021,Association for Computing Machinery,"New York, NY, USA",5,3,https://doi.org/10.1145/3478094,10.1145/3478094,"The fall detection system is of critical importance in protecting elders through promptly discovering fall accidents to provide immediate medical assistance, potentially saving elders' lives. This paper aims to develop a novel and lightweight fall detection system by relying solely on a home audio device via inaudible acoustic sensing, to recognize fall occurrences for wide home deployment. In particular, we program the audio device to let its speaker emit 20kHz continuous wave, while utilizing a microphone to record reflected signals for capturing the Doppler shift caused by the fall. Considering interferences from different factors, we first develop a set of solutions for their removal to get clean spectrograms and then apply the power burst curve to locate the time points at which human motions happen. A set of effective features is then extracted from the spectrograms for representing the fall patterns, distinguishable from normal activities. We further apply the Singular Value Decomposition (SVD) and K-mean algorithms to reduce the data feature dimensions and to cluster the data, respectively, before input them to a Hidden Markov Model for training and classification. In the end, our system is implemented and deployed in various environments for evaluation. The experimental results demonstrate that our system can achieve superior performance for detecting fall accidents and is robust to environment changes, i.e., transferable to other environments after training in one environment.",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,September,114,21,"Ultrasonic, Hidden Markov Model, Fall Detection, Device-free","Lian, Jie; Yuan, Xu; Li, Ming; Tzeng, Nian-Feng",,,,,,
article,XRF55: A Radio Frequency Dataset for Human Indoor Action Analysis,2024,March 2024,Association for Computing Machinery,"New York, NY, USA",8,1,https://doi.org/10.1145/3643543,10.1145/3643543,"Radio frequency (RF) devices such as Wi-Fi transceivers, radio frequency identification tags, and millimeter-wave radars have appeared in large numbers in daily lives. The presence and movement of humans can affect the propagation of RF signals, further, this phenomenon is exploited for human action recognition. Compared to camera solutions, RF approaches exhibit greater resilience to occlusions and lighting conditions, while also raising fewer privacy concerns in indoor scenarios. However, current works have many limitations, including the unavailability of datasets, insufficient training samples, and simple or limited action categories for specific applications, which seriously hinder the growth of RF solutions, presenting a significant obstacle in transitioning RF sensing research from the laboratory to a wide range of everyday life applications. To facilitate the transitioning, in this paper, we introduce and release a large-scale multiple radio frequency dataset, named XRF55, for indoor human action analysis. XRF55 encompasses 42.9K RF samples and 55 action classes of human-object interactions, human-human interactions, fitness, body motions, and human-computer interactions, collected from 39 subjects within 100 days. These actions were meticulously selected from 19 RF sensing papers and 16 video action recognition datasets. Each action is chosen to support various applications with high practical value, such as elderly fall detection, fatigue monitoring, domestic violence detection, etc. Moreover, XRF55 contains 23 RFID tags at 922.38MHz, 9 Wi-Fi links at 5.64GHz, one mmWave radar at 60-64GHz, and one Azure Kinect with RGB+D+IR sensors, covering frequency across decimeter wave, centimeter wave, and millimeter wave. In addition, we apply a mutual learning strategy over XRF55 for the task of action recognition. Unlike simple modality fusion, under mutual learning, three RF modalities are trained collaboratively and then work solely. We find these three RF modalities will promote each other. It is worth mentioning that, with synchronized Kinect, XRF55 also supports the exploration of action detection, action segmentation, pose estimation, human parsing, mesh reconstruction, etc., with RF-only or RF-Vision approaches.",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,March,21,34,"RFID, Wi-Fi, dataset, human action recognition, millimeter-wave radar, mutual learning","Wang, Fei; Lv, Yizhe; Zhu, Mengdie; Ding, Han; Han, Jinsong",,,,,,
inproceedings,An Integrated Approach to Fall Detection and Fall Risk Estimation Based on RGB-Depth and Inertial Sensors,2016,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3019943.3019979,10.1145/3019943.3019979,"Population ageing is a growing phenomenon, especially in Europe, so researchers are developing Active and Assisted Living solutions to promote ageing in place of elderly people. One of the most critical issues is represented by falls, and the development of fall risk estimation and fall detection tools can increase safety of elderly. The aim of this work is to develop fall risk estimation and fall detection tools using data extracted from wearable and vision-based sensors. First, the synchronization issue between heterogeneous data captured by different sensors is addressed, and a straightforward synchronization procedure based on time delays affecting the samples is provided. Then, fall detection algorithms and a fall risk estimation tool based on Timed Up and Go (TUG) test, exploiting wearable Inertial Measurement Units (IMUs) and an RGB-Depth sensor (Microsoft Kinect) are proposed. The fall detection tool is evaluated on 11 healthy adults simulating 4 different falls and performing 4 activities of daily living, while the TUG is tested on 20 healthy subjects. Encouraging preliminary results are obtained with data acquired in laboratory environment. The tools are privacy preserving since only depth and skeleton information captured by Kinect are processed.",,,,8,"Synchronization, Inertial sensor, Fall risk estimation, Fall detection, Depth camera, Data fusion","Cippitelli, Enea; Gasparrini, Samuele; Gambi, Ennio; Spinsante, Susanna",9781450347488,Proceedings of the 7th International Conference on Software Development and Technologies for Enhancing Accessibility and Fighting Info-Exclusion,246–253,"Vila Real, Portugal",DSAI '16,
article,Privacy perception and fall detection accuracy for in-home video assistive monitoring with privacy enhancements,2012,September 2012,Association for Computing Machinery,"New York, NY, USA",2,2,https://doi.org/10.1145/2384556.2384557,10.1145/2384556.2384557,"Video of in-home activity provides valuable information for assistive monitoring but raises privacy concerns. Raw video can be privacy-enhanced by obscuring the appearance of a person. We consider five privacy enhancements: blur, silhouette, oval, box, and trailing-arrows. We investigate whether a privacy enhancement exists that provides sufficient perceived privacy while enabling accurate fall detection by humans. We recorded 23 1-minute videos involving normal household activities, falling, and lying on the floor after an earlier fall, and created versions of each video for each privacy setting. We conducted an experiment with 376 undergraduate, non-engineering student participants to measure perceived privacy protection and the participant's fall detection accuracy for each privacy setting. Results indicate that the oval provides sufficient perceived privacy for 88% of participants while still supporting fall detection accuracy of 89%, and that the common privacy enhancements blur and silhouette were perceived to provide insufficient privacy.",SIGHIT Rec.,September,,10,"video, smart home, privacy-enhanced video, privacy, assistive monitoring","Edgcomb, Alex; Vahid, Frank",,,6–15,,,
inproceedings,The Medical Use of Smartwatches: A Tertiary Study Comparing Northern and Southern European Nursing homes,2021,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3486011.3486470,10.1145/3486011.3486470,"The European elderly population is increasing at a rapid rate. With the aging population, a shifted lifestyle and several healthcare needs follow due to non-communicable diseases, which could become both labour-intensive and expensive. However, with the advancement of technology in recent years, a new area of preventative monitoring has been developed, using wearables such as smartwatches within the healthcare field. The objectives of this study are threefold. First, investigate the average use of smartwatches within healthcare, and to which degree it is being used on patients. Second, to explore the differences between the medical use of smartwatches in nursing homes between northern and southern Europe. Third, measure the growth of the use of smartwatches within nursing homes. To do so, a systematic literature review was performed, covering the period from 2010 to 2021. Although, a total of 712 studies were retrieved, 16 were included in this review. The results show an overall positive assessment of the use of smartwatches within nursing homes, both in northern and southern Europe. However, there is a difference in use, based on the assessed needs, such as the difference between climates. The use of smartwatches within nursing homes has great potential, both within northern and southern Europe. Although the user's privacy and security are hardly discussed, both need to be a bigger concern.",,,,5,"Wearables, Systematic Review, Smartwatch, Nursing Home, Elders","Karlsen, Ida; Colomo-Palacios, Ricardo; Holone, Harald",9781450390668,Ninth International Conference on Technological Ecosystems for Enhancing Multiculturality (TEEM'21),330–334,"Barcelona, Spain",TEEM'21,
inproceedings,Towards a Blockchain based Fall Prediction Model for Aged Care,2019,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3290688.3290736,10.1145/3290688.3290736,"Falls are one of the major health concerns for the elderly people. These falls often result in severe injuries which lead into huge medical expenses. Over the recent years, many ICT based fall detection and fall prevention solutions emerged to address the risk factors associated with falls. However, despite of these research studies, predicting the likelihood of falls still remains as a huge challenge in both medical and IT research domains. Data related to these risk factors being scattered among different healthcare providers can be attributed as a main reason for this challenge. This is further amplified by healthcare providers being reluctant to disseminate the data beyond their entities due to the security and privacy concerns. However, in recent years, blockchain has been proven as a promising technology to address the security and privacy challenges in healthcare data exchange as it provides a shared, immutable, and transparent audit trail for accessing data. Therefore, in this paper, we are going to propose a conceptual blockchain based fall prediction model leveraging smart contracts and FHIR (Fast Healthcare Interoperability Resources) standard to identify the elderly people who are at a higher risk of falling.",,,32,10,"Smart Contracts, Healthcare, Fall Prediction, Blockchain Technology","Rupasinghe, Tharuka; Burstein, Frada; Rudolph, Carsten; Strange, Steven",9781450366038,Proceedings of the Australasian Computer Science Week Multiconference,,"Sydney, NSW, Australia",ACSW '19,
