Item Type,title,year,issue_date,publisher,address,volume,number,url,doi,abstract,journal,month,articleno,numpages,keywords,Authors,isbn,booktitle,pages,location,series,issn
inproceedings,FallDeWideo: Vision-Aided Wireless Sensing Dataset for Fall Detection with Commodity Wi-Fi Devices,2023,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3615984.3616501,10.1145/3615984.3616501,"Falling is one of the most dangerous events for the elderly and one of the most pressing public concern, which calls for an accurate, efficient, ubiquitous, cost-effective and privacy-preserving fall detection system to mitigate the negative consequences. Wi-Fi sensing-based method is considered as a potential technique to meet such needs. Existing solutions simply treat fall detection simply as a binary classification task, which leads to interpretability risks. To address this issue, we present FallDeWideo, the first multi-modal dataset dedicated to fall detection, comprising Wi-Fi CSI data and videos recorded during various kinds of events. We provide benchmark model for this dataset as well. Specifically, we train a CSI-based human pose estimation model (HPE) using video data as the supervision modality. The trained model can estimate human pose solely on Wi-Fi channel state information (CSI), and then detects whether a fall event occurs. This pipeline extracts rich information from CSI data and detects fall with more than just an alarm, but attached with an HPE, which allows more refined management of fall risks. We envision that this dataset will contribute to the wireless sensing research coomunity with respect to healthcare, action recognition, and cross-modal sensing. Codes and link to the dataset is available at https://github.com/shawnnn3di/falldewideo.",,,,6,"Wi-Fi sensing, activity recognition, datasets, fall detection, multi-modal","Cai, Zhijie; Chen, Tingwei; Zhou, Fujia; Cui, Yuanhao; Li, Hang; Li, Xiaoyang; Zhu, Guangxu; Shi, Qingjiang",9798400703645,Proceedings of the 3rd ACM MobiCom Workshop on Integrated Sensing and Communications Systems,7–12,"Madrid, Spain",ISACom '23,
inproceedings,Action Recognition and Fall Detection System Based on 3D Skeleton Model,2024,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3654522.3654537,10.1145/3654522.3654537,"Although Artificial intelligence has become an important part of machine-human interactions today. This research focuses on recognizing daily activities such as running, jumping, and walking, and the role of fall detection. The study emphasizes the system's ability to analyze human behavior in common situations, particularly in fall detection. Recognizing patterns in fall behavior is crucial in providing alerts and responding to emergencies. This not only supports security but also enhances healthcare and elderly care. A reliable fall detection system can stimulate the development of health and safety support systems and create smart applications for monitoring and home healthcare.The research will use RGB video data processed through Mediapipe [13] to extract skeletal keypoints. The ST-GCN model (Spatial-Temporal Graph Convolutional Network) [24] will be utilized for training and evaluation. Finally, a real-time camera system [14] will be built to detect actions using the Orange Pi Zero 3 embedded computer.",,,,8,"Fall detection, Human action recognition, Mediapipe Pose","Tran, Tri; Hoang, Khoa; Hoang, Ha",9798400716713,Proceedings of the 2024 9th International Conference on Intelligent Information Technology,86–93,"Ho Chi Minh City, Vietnam",ICIIT '24,
inproceedings,Design and Implementation of Clinical Monitoring Equipment Based on Thermal Infrared Imaging for Human Body Morphological Changes,2025,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3718441.3718478,10.1145/3718441.3718478,"The escalating aging demographic in China has heightened concerns regarding elderly care, particularly in the context of fall prevention. This research project is dedicated to the development of a fall detection system employing thermal infrared imaging technology. The system operates by monitoring changes in the tilt angle of an ellipse fitted to the body's thermal profile, alongside detecting infrared emissions from the body's surface to identify instances of falling. It is designed to provide a labor-efficient caregiving solution for the elderly in hospital or other care environments. Upon detecting a fall, the device immediately triggers an alarm, ensuring prompt medical intervention and potentially improving treatment outcomes. The result reveals that this system can collect morphological data through infrared imaging and assesses head movement acceleration to ascertain fall incidents. By processing these images, it can significantly reduce the mortality rate associated with falls, while also safeguarding patient privacy and minimizing the risk of accidents. Utilizing infrared imaging technology, the device offers real-time patient monitoring, which can decrease the likelihood of falls and enhance the efficiency of medical staff. This innovation holds substantial societal value, particularly in the context of an aging population.",,,,6,"Angle of Tilt, Body Surface Temperature, Elliptical Fitting, Fall Detection, Infrared Imaging Technology","Song, Ju-Hua; Cheng, Lin-lin; Liu, Fu-Xuan; Yang, Ying-Rui; Li, Tong; Ji, Chao",9798400709906,Proceedings of the 2024 2nd Asia Symposium on Image and Graphics,177–182,,ASIG '24,
inproceedings,SiFall: Practical Online Fall Detection with RF Sensing,2023,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3560905.3568517,10.1145/3560905.3568517,"Falls are one of the leading causes of death in the elderly people aged 65 and above. In order to prevent death by sending prompt fall detection alarms, non-invasive radio-frequency (RF) based fall detection has attracted significant attention, due to its wide coverage and privacy preserving nature. Existing RF-based fall detection systems process fall as an activity classification problem and assume that human falls introduce reproducible patterns to the RF signals. We, however, argue that the fall is essentially an accident, hence, its impact is uncontrollable and unforeseeable. We propose to solve the fall detection problem in a fundamentally different manner. Instead of directly identifying the human falls which are difficult to quantify, we recognize the normal repeatable human activities and then identify the fall as abnormal activities out of the normal activity distribution. We implement our idea and build a prototype based on commercial Wi-Fi. We conduct extensive experiments with 16 human subjects. The experiment results show that our system can achieve high fall detection accuracy and adapt to different environments for real-time fall detection.",,,,15,"adaptive segmentation, device-free, fall detection, real-time system, self-supervised learning, wireless sensing","Ji, Sijie; Xie, Yaxiong; Li, Mo",9781450398862,Proceedings of the 20th ACM Conference on Embedded Networked Sensor Systems,563–577,"Boston, Massachusetts",SenSys '22,
inproceedings,Real-time Embedded Demo System for Fall Detection under 15W Power,2022,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3552458.3556452,10.1145/3552458.3556452,"Fall is one of the major threats to the safety and life quality of elderly and patients. In this paper, an embedded demo system for real-time spatial-temporal fall detection on demo video is proposed. It is built upon MicroSoft Kinect V2 for 3D visual sensing, which is insensitive to illumination change. Meanwhile, NVIDIA Jetson AGX Xavier under 15W power serves as the embedded computing processor. To fit the proposed demo system, a novel real-time spatial-temporal fall detection approach based on deep learning technology is also proposed, with end-to-end running capacity. To our knowledge, this is the first spatial-temporal fall detection method in end-to-end way. In particular, it formulates spatial-temporal fall detection problem as a object detection like task. It first compresses the depth video clip captured by multi-scale temporal sliding window into a compact dynamic image, with fall's rich motion information. Consequently, fall is detected on dynamic image with YOLOv3-Tiny of high running efficiency and promising effectiveness from spatial perspective. Besides real-time live running capacity of our demo system, the experiments on 1 challenging datasets also verify the superiority of the proposed spatial-temporal fall detection approach.",,,,4,"spatial-temporal fall detection, embedded system, dynamic image, depth video, deep learning","Lu, Junyi; Jiang, Wenxiang; Xiao, Yang; Yan, Tingbing; Cao, Zhiguo; Fang, Zhiwen; Zhou, Joey",9781450394925,Proceedings of the 3rd International Workshop on Human-Centric Multimedia Analysis,79–82,"Lisboa, Portugal",HCMA '22,
inproceedings,Optimization and Validation of a 2D-LiDAR-Coverage Algortihm,2025,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3733155.3737907,10.1145/3733155.3737907,"The strategic placement of 2D-LiDAR (Light Detection and Ranging) sensors is critical for a wide range of applications in smart indoor environments, including security, fall detection, and elderly care monitoring. This paper introduces and validates a novel 2D-LiDAR coverage algorithm designed to address significant challenges such as blind spots and shadow minimization. By extending existing grid-based methodologies, the proposed algorithm incorporates multi-directional coverage requirements to ensure that each grid cell is reliably monitored from multiple perspectives. This enhancement reduces the likelihood of undetected areas and improves the overall resilience of the system to occlusions. Furthermore, the algorithm optimizes sensor placement to minimize hardware requirements while maintaining comprehensive spatial coverage. The algorithm’s performance is rigorously evaluated through both simulated and real-world experiments. The simulations modeled a typical and simple indoor environment with one large static obstacle to validate the effectiveness of the sensor placement strategy in achieving full coverage with minimal overlap. Real-world experiments, utilizing RPLidar A1M8 sensors, confirm the simulation results and demonstrate the practical feasibility of the algorithm in detecting and tracking movement throughout the test environment, including in regions prone to occlusions. These results emphasize the algorithm’s suitability for high-reliability applications such as fall detection in elderly care settings and continuous monitoring in smart environments. This work not only validates the practical applicability of the proposed approach but also provides a foundation for its adaptation to more complex scenarios, paving the way for advancements in sensor network design and deployment in diverse real-world contexts.",,,,7,"2D-LiDAR, Sensor Placement Optimization, Fall Detection, Indoor Monitoring, Shadow Minimization, Elderly Care Safety, Coverage Overlap, Real-world Validation, Smart Environment Monitoring","D'Avis, Noel; Faquiri, Silvia",9798400714023,Proceedings of the 18th ACM International Conference on PErvasive Technologies Related to Assistive Environments,248–254,,PETRA '25,
article,mmSeg: Leveraging mmWave Radar for Fine-grained Human Semantic Segmentation,2026,February 2026,Association for Computing Machinery,"New York, NY, USA",7,1,https://doi.org/10.1145/3786769,10.1145/3786769,"Human semantic segmentation facilitates the recognition of different parts of the human body and is essential for applications such as sports analysis and fall detection. To integrate human semantic segmentation into the domain of radio front-end sensing, this article introduces mmSeg, an innovative system that leverages commercial millimeter-wave radar for human semantic segmentation. However, the inherent propagation characteristics of mmWave signals often result in highly sparse point clouds with limited semantic information and the entanglement of temporal-topological features, making human semantic segmentation a challenging task. To address these challenges, mmSeg (i) first introduces a radar cross-section (RCS) calculation method suitable for commercial millimeter-wave radar to enhance the semantic information of radar point clouds at a coarse granularity; (ii) further designs a temporal-topological decoupling network to obtain the fine-grained human semantic segmentation results; (iii) constructs an efficient loss function for end-to-end training, based on an adjacency matrix graph to improve the segmentation performance. We evaluate mmSeg on our self-built millimeter-wave dataset HSS and a public dataset MM-Fi. mmSeg achieves an average point cloud segmentation accuracy of 87.74% on the HSS dataset and 84.18% on the MM-Fi dataset, outperforming the existing methods in both cases.",ACM Trans. Internet Things,February,10,32,"Millimeter-wave, human semantic segmentation, wireless sensing, radar cross-section","Shi, Ruili; Wang, Shuai; Mei, Luoyu; Zhang, Xuehan; Xu, Zhao-Dong; Wang, Shuai",,,,,,
inproceedings,“I Don’t Want to Become a Number’’: Examining Different Stakeholder Perspectives on a Video-Based Monitoring System for Senior Care with Inherent Privacy Protection (by Design).,2024,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3613904.3642164,10.1145/3613904.3642164,"Active and Assisted Living (AAL) technologies aim to enhance the quality of life of older adults and promote successful aging. While video-based AAL solutions offer rich capabilities for better healthcare management in older age, they pose significant privacy risks. To mitigate the risks, we developed a video-based monitoring system that incorporates different privacy-preserving filters. We deployed the system in one assistive technology center and conducted a qualitative study with older adults and other stakeholders involved in care provision. Our study demonstrates diverse users’ perceptions and experiences with video-monitoring technology and offers valuable insights for the system’s further development. The findings unpack the privacy-versus-safety trade-off inherent in video-based technologies and discuss how the privacy-preserving mechanisms within the system mitigate privacy-related concerns. The study also identifies varying stakeholder perspectives towards the system in general and highlights potential avenues for developing video-based monitoring technologies in the AAL context.",,,774,19,"Active and Assisted Living, Ageing, Older Adults, Privacy Concerns, Qualitative Study, Video Monitoring System","Mujirishvili, Tamara; Fedosov, Anton; Hashemifard, Kooshan; Climent-P\'{e}rez, Pau; Florez-Revuelta, Francisco",9798400703300,Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,,"Honolulu, HI, USA",CHI '24,
inproceedings,Fall Detection Algorithm Based on Wearable Design,2025,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3708657.3708738,10.1145/3708657.3708738,"As the world's aging problem intensifies, monitoring the physiological status of the elderly has become a hot issue of social concern. As an important method, body health monitoring based on wearable sensors has the characteristics of simplicity, efficiency, and low power consumption. Aiming at the data differentiation problem caused by different physiological data of different groups of people, a new feature space construction method is proposed, which introduces the concept of feature importance to minimize the complexity and calculation delay of feature calculation. In addition, a feedforward neural network is constructed to achieve secondary direction judgment after a fall to balance algorithm complexity and overall judgment accuracy. Simulation results show that compared with traditional neural network models, this algorithm has advantages in classification accuracy and model complexity, and has the potential to be deployed on small devices.",,,,7,"Fall detection, Neural networks, Threshold feature, Wearable device","Tian, Yunlong; Liu, Chang; Zhang, Xu; Zhang, Wentao; Li, Yonghua",9798400717444,Proceedings of the 2024 10th International Conference on Communication and Information Processing,492–498,,ICCIP '24,
inproceedings,Millimeter Wave Radar Fall Detection Algorithm Based on Improved Transformer,2023,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3606193.3606195,10.1145/3606193.3606195,"Aiming at the defects of convolutional neural network that it is difficult to extract high-level visual semantic information and ignore inter-channel information, a millimeter wave radar fall detection algorithm based on improved Transformer is proposed. By combining the channel attention mechanism with the Transformer network structure to form a pyramid structure, the temporal information and spatial information of the signal are effectively extracted, the feature extraction ability of the deep learning network model is enhanced, and the problem of overfitting of the Transformer structure under small samples is improved. The fall detection of millimeter wave radar signal is realized. The experimental results show that the classification accuracy of the algorithm is 96.8%, which verifies the feasibility and effectiveness of the model.",,,,7,,"Bao, Zhiqiang; Ai, Ting; Su, Jinhang",9798400700040,Proceedings of the 2023 5th International Symposium on Signal Processing Systems,8–14,"Guangzhou, China",SSPS '23,
