Item Type,title,year,issue_date,publisher,address,volume,number,url,doi,abstract,journal,month,articleno,numpages,keywords,Authors,isbn,booktitle,pages,location,series,issn,source
inproceedings,SiFall: Practical Online Fall Detection with RF Sensing,2023,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3560905.3568517,10.1145/3560905.3568517,"Falls are one of the leading causes of death in the elderly people aged 65 and above. In order to prevent death by sending prompt fall detection alarms, non-invasive radio-frequency (RF) based fall detection has attracted significant attention, due to its wide coverage and privacy preserving nature. Existing RF-based fall detection systems process fall as an activity classification problem and assume that human falls introduce reproducible patterns to the RF signals. We, however, argue that the fall is essentially an accident, hence, its impact is uncontrollable and unforeseeable. We propose to solve the fall detection problem in a fundamentally different manner. Instead of directly identifying the human falls which are difficult to quantify, we recognize the normal repeatable human activities and then identify the fall as abnormal activities out of the normal activity distribution. We implement our idea and build a prototype based on commercial Wi-Fi. We conduct extensive experiments with 16 human subjects. The experiment results show that our system can achieve high fall detection accuracy and adapt to different environments for real-time fall detection.",,,,15.0,"adaptive segmentation, device-free, fall detection, real-time system, self-supervised learning, wireless sensing","Ji, Sijie; Xie, Yaxiong; Li, Mo",9781450398862.0,Proceedings of the 20th ACM Conference on Embedded Networked Sensor Systems,563–577,"Boston, Massachusetts",SenSys '22,,ACM
inproceedings,Optimization and Validation of a 2D-LiDAR-Coverage Algortihm,2025,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3733155.3737907,10.1145/3733155.3737907,"The strategic placement of 2D-LiDAR (Light Detection and Ranging) sensors is critical for a wide range of applications in smart indoor environments, including security, fall detection, and elderly care monitoring. This paper introduces and validates a novel 2D-LiDAR coverage algorithm designed to address significant challenges such as blind spots and shadow minimization. By extending existing grid-based methodologies, the proposed algorithm incorporates multi-directional coverage requirements to ensure that each grid cell is reliably monitored from multiple perspectives. This enhancement reduces the likelihood of undetected areas and improves the overall resilience of the system to occlusions. Furthermore, the algorithm optimizes sensor placement to minimize hardware requirements while maintaining comprehensive spatial coverage. The algorithm’s performance is rigorously evaluated through both simulated and real-world experiments. The simulations modeled a typical and simple indoor environment with one large static obstacle to validate the effectiveness of the sensor placement strategy in achieving full coverage with minimal overlap. Real-world experiments, utilizing RPLidar A1M8 sensors, confirm the simulation results and demonstrate the practical feasibility of the algorithm in detecting and tracking movement throughout the test environment, including in regions prone to occlusions. These results emphasize the algorithm’s suitability for high-reliability applications such as fall detection in elderly care settings and continuous monitoring in smart environments. This work not only validates the practical applicability of the proposed approach but also provides a foundation for its adaptation to more complex scenarios, paving the way for advancements in sensor network design and deployment in diverse real-world contexts.",,,,7.0,"2D-LiDAR, Sensor Placement Optimization, Fall Detection, Indoor Monitoring, Shadow Minimization, Elderly Care Safety, Coverage Overlap, Real-world Validation, Smart Environment Monitoring","D'Avis, Noel; Faquiri, Silvia",9798400714023.0,Proceedings of the 18th ACM International Conference on PErvasive Technologies Related to Assistive Environments,248–254,,PETRA '25,,ACM
article,Toward Device-free and User-independent Fall Detection Using Floor Vibration,2023,February 2023,Association for Computing Machinery,"New York, NY, USA",19.0,1.0,https://doi.org/10.1145/3519302,10.1145/3519302,"The inevitable aging trend of the world’s population brings a lot of challenges to the health care for the elderly. For example, it is difficult to guarantee timely rescue for single-resided elders who fall at home. Under this circumstance, a reliable automatic fall detection machine is in great need for emergent rescue. However, the state-of-the-art fall detection systems are suffering from serious privacy concerns, having a high false alarm, or being cumbersome for users. In this article, we propose a device-free fall detection system, namely G-Fall, based on floor vibration collected by geophone sensors. We first decompose the falling mode and characterize it with time-dependent floor vibration features. By leveraging Hidden Markov Model (HMM), our system is able to detect the fall event precisely and achieve user-independent detection. It requires no training from the elderly but only an HMM template learned in advance through a small number of training samples. To reduce the false alarm rate, we propose a novel reconfirmation mechanism using Energy-of-Arrival (EoA) positioning to assist in detecting the human fall. Extensive experiments have been conducted on 24 human subjects. On average, G-Fall achieves a 95.74% detection precision on the anti-static floor and 97.36% on the concrete floor. Furthermore, with the assistance of EoA, the false alarm rate is reduced to nearly 0%.",ACM Trans. Sen. Netw.,February,5,20.0,"user-independent, device-free, geophone, floor vibration, Fall detection","Wu, Kaishun; Huang, Yandao; Qiu, Minghui; Peng, Zhenkan; Wang, Lu",,,,,,1550-4859,ACM
inproceedings,Research on the Application of Fall Detection Technology Based on the Security Field of the Smart Care for the Elderly,2022,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3512826.3512832,10.1145/3512826.3512832,"Abstract. The security of the elderly in an aging society has become a social problem attracting much attention, among which the problem of secondary injury caused by the fall has attracted wide concern of researchers. The application of fall detection combined with artificial intelligence technology has become an important application in the security field of smart care for the elderly. After analyzing and judging the human body features, this paper found out that the combination of human skeleton and fall detection technology could be used to identify the fall behavior and link it with the alarm system to solve the security problem of smart care for the elderly. The experimental results showed that the recognition rate of fall detection was increased by 2% after adding optimization of genetic algorithm factors and contrast calculation of prediction frame length in the process of human feature target detection.",,,,5.0,"Keywords. Smart Care for the Elderly, Human Features, Genetic Algorithm, Fall Detection","Chen, Zhiwen; Ji, Yong; Ren, Yuanhong",9781450395489.0,Proceedings of the 2022 3rd International Conference on Artificial Intelligence in Electronics Engineering,75–79,"Bangkok, Thailand",AIEE '22,,ACM
inproceedings,Real-Time Privacy Preserving Human Activity Recognition on Mobile using 1DCNN-BiLSTM Deep Learning,2023,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3591156.3591159,10.1145/3591156.3591159,"Human Activity Recognition (HAR) from sensors has real-world applications such as fall detection of elderly or improvement in human-robot interactions, but privacy is of concern in videos of such applications. We investigated the feasibility of developing a real-time HAR mobile application that detects 3 different human poses: standing, sitting and lying, while preserving privacy by a facial detection method that also masks faces in the video. We proposed a hybrid 1-Dimensional Convolutional Neural Network with Bidirectional Long Short-Term Memory (1DCNN-BiLSTM) algorithm to recognise these 3 poses. We trained our proposed 1DCNN-BiLSTM algorithm using RGB videos from 3 public datasets (URFall, NTU RGB+D, Fall Detection) whereby features were extracted using MoveNet. The results yielded 82.1% test accuracy and 0.930 macro average AUC-ROC score on the combined dataset, hence demonstrating feasibility of deploying the proposed algorithm for balanced as well as imbalanced datasets. We then implemented our proposed 1DCNN-BiLSTM algorithm with face detection and masking in a mobile application. The results showed that the mobile application could perform human pose detection inference in real time (3 people at 23.0-25.3 FPS). Hence this study showed promise of a larger scale-study of these HAR systems, such as monitoring potential falls in video surveillance.",,,,9.0,"Real-Time Mobile Application, Human Activity Recognition, Deep Learning, Computer Vision","Singh, Ishneet; Kaza, Pradyoth; Hosler, Peter; Chin, Zheng; Ang, Kai",9781450398381.0,"Proceedings of the 2023 5th International Conference on Image, Video and Signal Processing",18–26,"Singapore, Singapore",IVSP '23,,ACM
inproceedings,TADAR: Thermal Array-based Detection and Ranging for Privacy-Preserving Human Sensing,2024,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3641512.3686357,10.1145/3641512.3686357,"Human sensing has gained increasing attention in various applications. Among the available technologies, visual images offer high accuracy, while sensing on the RF spectrum preserves privacy, creating a conflict between imaging resolution and privacy preservation. In this paper, we explore thermal array sensors as an emerging modality that strikes an excellent resolution-privacy balance for ubiquitous sensing. To this end, we present TADAR, the first multi-user Thermal Array-based Detection and Ranging system that estimates the inherently missing range information, extending thermal array outputs from 2D thermal pixels to 3D depths and empowering them as a promising modality for ubiquitous privacy-preserving human sensing. We prototype TADAR using a single commodity thermal array sensor and conduct extensive experiments in different indoor environments. Our results show that TADAR achieves a mean F1 score of 88.8% for multi-user detection and a mean accuracy of 32.0 cm for multi-user ranging, which further improves to 20.1 cm for targets located within 3 m. We conduct two case studies on fall detection and occupancy estimation to showcase the potential applications of TADAR. We hope TADAR will inspire the vast community to explore new directions of thermal array sensing, beyond wireless and acoustic sensing. TADAR is open-sourced on GitHub: https://github.com/aiot-lab/TADAR.",,,,10.0,"human sensing, thermal array, detection and ranging","Zhang, Xie; Wu, Chenshu",9798400705212.0,"Proceedings of the Twenty-Fifth International Symposium on Theory, Algorithmic Foundations, and Protocol Design for Mobile Networks and Mobile Computing",11–20,"Athens, Greece",MobiHoc '24,,ACM
article,Waffle: A Waterproof mmWave-based Human Sensing System inside Bathrooms with Running Water,2024,December 2023,Association for Computing Machinery,"New York, NY, USA",7.0,4.0,https://doi.org/10.1145/3631458,10.1145/3631458,"The bathroom has consistently ranked among the most perilous rooms in households, with slip and fall incidents during showers posing a critical threat, particularly to the elders. To address this concern while ensuring privacy and accuracy, the mmWave-based sensing system has emerged as a promising solution. Capable of precisely detecting human activities and promptly triggering alarms in response to critical events, it has proved especially valuable within bathroom environments. However, deploying such a system in bathrooms faces a significant challenge: interference from running water. Similar to the human body, water droplets reflect substantial mmWave signals, presenting a major obstacle to accurate sensing. Through rigorous empirical study, we confirm that the interference caused by running water adheres to a Weibull distribution, offering insight into its behavior. Leveraging this understanding, we propose a customized Constant False Alarm Rate (CFAR) detector, specifically tailored to handle the interference from running water. This innovative detector effectively isolates human-generated signals, thus enabling accurate human detection even in the presence of running water interference. Our implementation of ""Waffle"" on a commercial off-the-shelf mmWave radar demonstrates exceptional sensing performance. It achieves median errors of 1.8cm and 6.9cm for human height estimation and tracking, respectively, even in the presence of running water. Furthermore, our fall detection system, built upon this technique, achieves remarkable performance (a recall of 97.2% and an accuracy of 97.8%), surpassing the state-of-the-art method.",Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,January,201,29.0,"Bathroom, Fall Detection, Radar Point cloud, Target Detection, mmWave Radar Sensing","Zhang, Xusheng; Zhang, Duo; Xie, Yaxiong; Wu, Dan; Li, Yang; Zhang, Daqing",,,,,,,ACM
inproceedings,Privacy-Enhancing Fall Detection from Remote Sensor Data Using Multi-Party Computation,2019,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3339252.3340500,10.1145/3339252.3340500,"Motion-based fall detection systems are concerned with detecting falls from vulnerable users, which is typically performed by classifying measurements from a body-worn inertial measurement unit (IMU) using machine learning. Such systems, however, necessitate the collection of high-resolution measurements that may violate users' privacy, such as revealing their gait, activities of daily living (ADLs), and relative position using dead reckoning. In this paper, we investigate the application of multi-party computation (MPC) to IMU-based fall detection for protecting device measurement confidentiality. Our system is evaluated in a cloud-based setting that precludes parties from learning the underlying data using multiple, disparate cloud instances deployed in three geographical configurations. Using a publicly-available dataset, we demonstrate that MPC-based fall detection from IMU measurements is practical while achieving state-of-the-art error rates. In the best case, our system executes in 365.2 milliseconds, which falls well within the required time window for on-device data acquisition (750ms).",,,73,10.0,"multi-party computation (MPC), cloud computing, Internet of Things (IoT), Fall detection","Mainali, Pradip; Shepherd, Carlton",9781450371643.0,"Proceedings of the 14th International Conference on Availability, Reliability and Security",,"Canterbury, CA, United Kingdom",ARES '19,,ACM
inproceedings,Syncope Detection in Toilet Environments Using Wi-Fi Channel State Information,2018,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3267305.3267650,10.1145/3267305.3267650,"Syncope and strokes in toilets can lead to severe injuries, and even pose life threats to patients. However, owing to privacy concerns, vision-based fall detection cannot be applied in such a scenario. In this poster, we propose ToiFall, a prototype for syncope detection in toilet environments. ToiFall collects Channel State Information (CSI) of commodity Wi-Fi devices. Different human movements form various textures on CSI images, and such textures can be used for feature extraction and classification. Experimental results show an accuracy of over 98% for fall detection with satisfying reliability.",,,,4.0,"Fall detection, Channel state information, Action recognition","Wang, Ziqi; Gu, Zhihao; Yin, Junwei; Chen, Zhe; Xu, Yuedong",9781450359665.0,Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers,287–290,"Singapore, Singapore",UbiComp '18,,ACM
inproceedings,Wearable camera for fall detection embedded system,2019,,Association for Computing Machinery,"New York, NY, USA",,,https://doi.org/10.1145/3368756.3369053,10.1145/3368756.3369053,"The fall is one of the major problems that threaten the health of the elderly. According to world statistics, between 28% and 35% of seniors aged over 65 suffer from at least one fall per year. Continuous monitoring and early detection of critical events such as falls, allow for rapid response and immediate medical management. For this, several fall detection devices have been designed by the researchers. In this paper, we propose a fall detection system based on a portable camera. The camera is worn by the user, which allows him to follow his activity wherever he moves, whether indoors or outdoors. In addition, since it is the environment and not the individual that is being observed, the privacy issue is mitigated. The proposed fall detection method is a new approach based on the original Histogram of Oriented Gradient version (HOG) that we combine with the Optical Flow to improve system performance in detecting true falls. Our method has been implemented on a Raspberry embedded on the developed device, which allows us to parallelize the calculations and thus to answer the real time constraint. The results of the 20 tests performed on 09 subjects; show that the falls can be detected with a sensitivity of 95% from the standing position. The combination of optical flow with HOG has improved the specificity, for the rotation scenario, by increasing it by 50% compared to the use of HOG alone. As a result, we have achieved a specificity of 90%. Experimental results show the success of the proposed method.",,,70,6.0,"portable camera, optical flow, histogram of oriented gradient, fall detection, embedded system","Boudouane, Isma; Makhlouf, Amina; Saadia, Nadia; Ramdane-Cherif, Amar",9781450362894.0,Proceedings of the 4th International Conference on Smart City Applications,,"Casablanca, Morocco",SCA '19,,ACM
