"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Human Fall Detection with Wearable Sensors Using ML Algorithms","A. Sowmya; A. S. Pillai","Department of Electrical and Electronics Engineering, Amrita School of Engineering, Coimbatore Amrita Vishwa Vidyapeetham, India; Department of Electrical and Electronics Engineering, Amrita School of Engineering, Coimbatore Amrita Vishwa Vidyapeetham, India",2021 2nd International Conference on Smart Electronics and Communication (ICOSEC),"12 Nov 2021","2021","","","1092","1095","In the healthcare systems, wearable technology is enhanced by continuously monitoring people's physical activities and behaviors in daily life. A wearable system has two technologies, one based on sensors and the other based on cameras. The use of machine learning (ML) in health care applications, such as human fall detection, has become an active area of research. This research work has proposed a sensor based human fall detection system, which detect a fall by using sensor-based technology other than the vision-based technology because most people are concerned about their privacy very seriously. The overall performance of the proposed scheme was examined by using four machine learning algorithms namely, Support Vector Machine (SVM), k-nearest neighbour’s (KNNs), Decision Tree (DT), and Random Forest (RF). The proposed methodology achieves the best accuracy for human fall detection, i.e., 98% , by using ensemble technique as RF classifier.","","978-1-6654-3368-6","10.1109/ICOSEC51865.2021.9591912","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9591912","Fall Detection;Wearable Sensors;Machine Learning;Health care applications","Support vector machines;Radio frequency;Machine learning algorithms;Medical services;Feature extraction;Sensor systems;Reliability","","9","","20","IEEE","12 Nov 2021","7-9 Oct. 2021","7-9 Oct. 2021","IEEE","IEEE Conferences"
"Fall Detection Based on HOG Features for Millimeter Wave Radar","C. Song; K. Ma; J. He; Y. Jia","School of Mechanical and Electrical Engineering, Chengdu University of Technology, Chengdu, China; School of Mechanical and Electrical Engineering, Chengdu University of Technology, Chengdu, China; School of Mechanical and Electrical Engineering, Chengdu University of Technology, Chengdu, China; School of Mechanical and Electrical Engineering, Chengdu University of Technology, Chengdu, China","2022 2nd International Conference on Frontiers of Electronics, Information and Computation Technologies (ICFEICT)","28 Nov 2022","2022","","","316","321","The secondary injury caused by falls poses a serious threat to the physical and mental health of the elderly. Millimeter-wave radar has the characteristics of all-weather, unaffected by light, privacy-friendly, and strong penetration. It has the ability to compete with wearable sensors and video monitoring systems. With its excellent performance, it has become a fall detection method that has attracted much attention. In this paper, we propose a novel human fall detection method for millimeter wave radar based on histogram of oriented gradient (HOG) features and machine learning. The manual extracted HOG features of time-range maps, time-velocity maps and time-angle maps are used as the input of support vector machine (SVM) classifier. We separately verify the accuracy of the SVM classifier with single HOG feature and multiple HOG features. Our experiments proved that the accuracy of fall detection can reach 95% by using the HOG features of three maps as the input of the SVM classifier, which is at least 12.5% higher than that of single map.","","978-1-6654-5476-6","10.1109/ICFEICT57213.2022.00064","National Natural Science Foundation of China(grant numbers:61871080); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9951574","fall detection;Millimeter wave radar;HOG features;SVM","Support vector machines;Machine learning algorithms;Image edge detection;Statistical learning;Radar detection;Millimeter wave radar;Feature extraction","","4","","17","IEEE","28 Nov 2022","19-21 Aug. 2022","19-21 Aug. 2022","IEEE","IEEE Conferences"
"Detecting unexpected fall using array antenna","Y. Hino; J. Hong; T. Ohtsuki","Graduate School of Science and Technology, Keio University, Kouhoku-ku, Yokohama, Japan; Graduate School of Science and Technology, Keio University, Kouhoku-ku, Yokohama, Japan; Graduate School of Science and Technology, Keio University, Kouhoku-ku, Yokohama, Japan","2014 IEEE 25th Annual International Symposium on Personal, Indoor, and Mobile Radio Communication (PIMRC)","29 Jun 2015","2014","","","2104","2108","Nowadays, the population of the elderly people is increasing in Japan. The system to protect an elderly person who is living alone is needful. The bigger part of the accident in their house is falling. There are several kinds of products to detect a person's fall. However, there are some problems that it does not have enough detection range and privacy. Array antenna is an antenna, which detects radio wave propagation by observing the direction of arrival (DOA) of the signal. We developed previously the fall detection using array antenna. In the conventional fall detection method, it is needed to learn and observe the whole activity scenario, which includes how the person moves before and after the fall. As a result, when the unexpected fall scenario happens, it is not able to detect the fall correctly. In this paper, we propose a detection algorithm for unexpected fall using array antenna. We detect fall for every fixed time, and by the results of the detection, we decide whether the activity is falling or not. By using this method, it can detect the unexpected fall scenario, which is not learned. In addition, we use new features for support vector machine (SVM) to distinguish confusing activities and improve the fall detection accuracy.","2166-9589","978-1-4799-4912-0","10.1109/PIMRC.2014.7136519","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7136519","","Arrays;Antenna arrays;Accuracy;Proposals;Cost function;Support vector machines","","2","","9","IEEE","29 Jun 2015","2-5 Sept. 2014","2-5 Sept. 2014","IEEE","IEEE Conferences"
"3D-LiDAR-Based Fall Detection by Dynamic Non-Linear Mapping with LSTM","X. Meng; M. Bouazizi; T. Ohtsuki","Graduate School of Science and Technology, Keio University, Yokohama, Japan; Faculty of Science and Technology, Keio University, Yokohama, Japan; Faculty of Science and Technology, Keio University, Yokohama, Japan",ICC 2024 - IEEE International Conference on Communications,"20 Aug 2024","2024","","","818","823","With the aging of the population, the health of the elderly people has become a concern for many families. Monitoring of elderly people and the detection of their activities have become hot research topics. Several approaches have been proposed in the literature to detect such activity (e.g., falls), but their reliance on RGB cameras poses a serious threat to the privacy of the elderly. Therefore, Light Detection and Ranging (LiDAR) has attracted the attention of researchers. In this paper, we propose a novel method for fall detection using transfer learning and dynamic non-linear mapping to extract the human skeletons from depth images and implement a fall detection method using a Long Short-Term Memory (LSTM) neural network. We collected RGB images and depth images using 3D-LiDAR. The RGB images are used as a ground-truth for annotation and evaluation, whereas depth images are used as input to our proposed method. For fall detection, we achieved 98.5% accuracy, 97.0% precision, 100% recall, and 98.5% F1 score.","1938-1883","978-1-7281-9054-9","10.1109/ICC51166.2024.10622434","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10622434","Fall Detection;3D-LiDAR;Transfer Learning;Dynamic Non-linear Mapping;Pose Estimation","Privacy;Accuracy;Transfer learning;Sociology;Pose estimation;Skeleton;Older adults","","2","","17","IEEE","20 Aug 2024","9-13 June 2024","9-13 June 2024","IEEE","IEEE Conferences"
"Recent Advances in Fall Detection and Prevention Using Machine Learning and IoT: A Comprehensive Review","A. J; V. A","Department of Information Technology, Sona College of Technology, Salem, Tamilnadu, India; Department of Information Technology, Sona College of Technology, Salem, Tamilnadu, India",2025 International Conference on Emerging Technologies in Engineering Applications (ICETEA),"11 Aug 2025","2025","","","1","5","Traditional falls among elderly adults generate major health problems which result in severe injuries as well as independence loss while driving up healthcare expenses. Threshold-based sensor systems used traditionally exhibit insufficient accuracy together with slow response times which explain their inability to help during important scenarios. The use of machine learning (ML) and Internet of Things (IoT) technology to enable sophisticated proactive monitoring, realtime data analysis, and personalized intervention systems has resulted in significant advancements in fall detection and prevention. A synthesis of ML and IoT progress for fall detection analyzes ten core studies which appeared from 2018 to 2023. Because they provide noticeably higher detection accuracy, deep learning models—in particular, Convolutional neural networks (CNNs) and Recurrent neural networks (RNNs)—progressively gain traction. Because edge computing and wearable sensors, such as smart watches and inertial measurement units (IMUs), can guarantee low-latency processing, their application has grown widespread. The detection system faces ongoing obstacles since it requires solutions to address privacy concerns and scalability problems and require customized detection protocols. Future study directions on fall detection and prevention systems require solutions around multimodal sensor fusion and edge-ML deployment and user-specific modeling for optimal performance.","","979-8-3315-1485-3","10.1109/ICETEA64585.2025.11099926","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11099926","Fall Detection;Machine Learning;IoT;Gait Analysis;Smart Healthcare","Deep learning;Accuracy;Prevention and mitigation;Scalability;Image edge detection;Medical services;Internet of Things;Time factors;Fall detection;Wearable sensors","","1","","16","IEEE","11 Aug 2025","5-6 June 2025","5-6 June 2025","IEEE","IEEE Conferences"
"Constructing finite automata based model for detecting human fall","V. Vijayalakshmi; C. Nivetha; C. E. Pushpalatha; C. S. Hemalatha; V. Vaidehi","Madras Institute Of Technology, Anna University, Chennai; Madras Institute Of Technology, Anna University, Chennai; Madras Institute Of Technology, Anna University, Chennai; Madras Institute Of Technology, Anna University, Chennai; Anna University Chennai, Chennai, Tamil Nadu, IN",2013 International Conference on Recent Trends in Information Technology (ICRTIT),"26 Jun 2014","2013","","","466","471","The fall of a person forms a major cause for serious health decline or injury related death in elderly persons. The existing fall detection algorithms are based on visual sensors. Fall detection using visual sensor has restriction in the coverage region due to privacy. Existing wearable sensor based on accelerometer is not sufficiency for detecting fall as it will not detect fall that occurs due to internal health abnormalities. Both activity and health data differ between persons of different age group. To handle such variation in the data, this paper proposes a novel fall detection scheme based on fuzzy finite automata with probability density function by formulating rule patterns combining the capabilities of automata using both accelerometer and physiological sensors. The proposed scheme provides a systematic approach for continuous monitoring of elderly patients living alone with the ability to detect the fall of the patient, overcoming the demerits of visual sensors.","","978-1-4799-1024-3","10.1109/ICRTIT.2013.6844248","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6844248","Fuzzy Finite Automata (FFA);Probability Density Function (PDF);Rule patterns;Fall detections","Automata;Probability density function;Accelerometers;Heart rate;Market research;Senior citizens;Detection algorithms","","","","8","IEEE","26 Jun 2014","25-27 July 2013","25-27 July 2013","IEEE","IEEE Conferences"
"CareVision: Real-Time Fall Detection for Elderly Care","T. Tongsrihon; C. Sattayasansakul; A. Songwattana; P. Suesaowaluk","Department of Computer Science, College of Digital Innovation Technology, Rangsit University, Pathumthani, Thailand; Department of Computer Science, College of Digital Innovation Technology, Rangsit University, Pathumthani, Thailand; Department of Computer Science, College of Digital Innovation Technology, Rangsit University, Pathumthani, Thailand; Department of Computer Science, College of Digital Innovation Technology, Rangsit University, Pathumthani, Thailand","2025 7th International Conference on Electrical, Control and Instrumentation Engineering (ICECIE)","3 Feb 2026","2025","","","1","4","Falls are a major cause of injuries, increased mortality rates, and reduced quality of life among the elderly, especially those living alone who may not receive timely assistance. This study aims to develop a fall detection system integrating Internet of Things (IoT) and Computer Vision technologies to enhance safety and mitigate fall-related risks. The system operates with smart cameras and IoT devices, utilizing AI-powered image processing techniques, including MediaPipe and You Only Look Once version 8 (YOLOv8), for real-time fall detection. When a fall is detected, the system records the incident images directly onto the device’s local storage, ensuring data privacy and fast access. It then sends an alert via Telegram Bot to caregivers, ensuring rapid and timely intervention. The empirical test demonstrated high accuracy in fall detection using MediaPipe and YOLOv8, minimizing false positives and negatives through confidence thresholding and post-processing, thereby improving reliability and reducing unnecessary alerts. Real-time alerts via Telegram Bot enable prompt caregiver intervention, improving response times. The outcomes result in a secure, reduced risk of injury situation, and allow elderly individuals to live with more faith in their health and a good quality of life.","2832-9848","979-8-3315-9759-7","10.1109/ICECIE66637.2025.11363794","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11363794","Internet of Things (IoT);Computer Vision;Artificial Intelligence (AI);YOLOv8;MediaPipe;Telegram Bot;Real-time Fall Detection","YOLO;Accuracy;Chatbots;Real-time systems;Safety;Internet of Things;Time factors;Older adults;Fall detection;Injuries","","","","14","IEEE","3 Feb 2026","22-23 Nov. 2025","22-23 Nov. 2025","IEEE","IEEE Conferences"
"Fall Detection in Bathroom: A Millimeter-Wave Radar and Multi-Dimensional Clustering Approach","Y. Zhao; Q. Hu; D. Miao; P. Huang; Z. Shi; Y. Wang","College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science and Electronic Engineering, Zhejiang University, Hangzhou, China",2025 IEEE 25th International Conference on Communication Technology (ICCT),"24 Feb 2026","2025","","","1731","1735","Wireless sensing technologies leverage radio frequency, microwave, and infrared signals to unobtrusively detect and monitor environmental conditions. In particular, bathrooms, which are confined spaces with high humidity, are high-risk environments for elderly individuals prone to falls. Millimeter-wave radar-based fall detection systems offer significant advantages in such settings, providing robust privacy protection, reliable performance, and high accuracy. However, in shower scenarios, water flow disrupts radar signals, generating point clouds with non-human artifacts that complicate human activity detection. To address this, we propose a point cloud clustering algorithm leveraging multi-dimensional velocity and spatial features. The algorithm segments the point cloud into clusters based on spatial distribution. Subsequently, by analyzing velocity differences between the clusters, the algorithm identifies and filters out the cluster with a higher descent speed as the interference source. This approach enables precise detection of falls, including soft falls caused by sudden medical events, which are rarely addressed in prior literature. Falls are identified by tracking temporal changes in the height of the remaining cluster, which represents human movement. Using this method, we develop a low-complexity, training-free bathroom fall detection system, achieving a fall detection recall rate of 97.5%.","2576-7828","979-8-3315-8578-5","10.1109/ICCT67417.2025.11374211","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11374211","Fall Detection;mmWave Radar;Target Detection;Bathroom","Point cloud compression;Wireless sensor networks;Filters;Clustering algorithms;Radar detection;Interference;Millimeter wave radar;Fall detection;Millimeter wave communication;Biomedical monitoring","","","","16","IEEE","24 Feb 2026","16-18 Oct. 2025","16-18 Oct. 2025","IEEE","IEEE Conferences"
"CARE: A dynamic stereo vision sensor system for fall detection","A. N. Belbachir; M. Litzenberger; S. Schraml; M. Hofstätter; D. Bauer; P. Schön; M. Humenberger; C. Sulzbachner; T. Lunden; M. Merne","Austrian Institute of Technology GmbH, Vienna, Austria; Austrian Institute of Technology GmbH, Vienna, Austria; Austrian Institute of Technology GmbH, Vienna, Austria; Austrian Institute of Technology GmbH, Vienna, Austria; Austrian Institute of Technology GmbH, Vienna, Austria; Austrian Institute of Technology GmbH, Vienna, Austria; Austrian Institute of Technology GmbH, Vienna, Austria; Austrian Institute of Technology GmbH, Vienna, Austria; Everon Oy/Ab, Lieto, Finland; Everon Oy/Ab, Lieto, Finland",2012 IEEE International Symposium on Circuits and Systems (ISCAS),"20 Aug 2012","2012","","","731","734","This paper presents a recently developed dynamic stereo vision sensor system and its application for fall detection towards safety for elderly at home. The system consists of (1) two optical detector chips with 304×240 event-driven pixels which are only sensitive to relative light intensity changes, (2) an FPGA for interfacing the detectors, early data processing, and stereo matching for depth map reconstruction, (3) a digital signal processor for interpreting the sensor data in real-time for fall recognition, and (4) a wireless communication module for instantly alerting caring institutions. This system was designed for incident detection in private homes of elderly to foster safety and security. The two main advantages of the system, compared to existing wearable systems are from the application's point of view: (a) the stationary installation has a better acceptance for independent living comparing to permanent wearing devices, and (b) the privacy of the system is systematically ensured since the vision detector does not produce real images such as classic video sensors. The system can actually process about 300 kevents per second. It was evaluated using 500 fall cases acquired with a stuntman. More than 90% positive detections were reported. We will show a live demonstration during ISCAS2012 of the sensor system and its capabilities.","2158-1525","978-1-4673-0219-7","10.1109/ISCAS.2012.6272141","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6272141","","Stereo vision;Field programmable gate arrays;Real time systems;Sensor systems;Digital signal processing;Voltage control;Arrays","","32","","9","IEEE","20 Aug 2012","20-23 May 2012","20-23 May 2012","IEEE","IEEE Conferences"
"Secure sensor node with Raspberry Pi","S. Banerjee; D. Sethia; T. Mittal; U. Arora; A. Chauhan","Department of Electrical Engineering, Delhi Technological University, Delhi, India; Department of Computer Engineering, Delhi Technological University, Delhi, India; Department of Computer Engineering, Delhi Technological University, Delhi, India; Department of Computer Engineering, Delhi Technological University, Delhi, India; Department of Computer Engineering, Delhi Technological University, Delhi, India",IMPACT-2013,"22 May 2014","2013","","","26","30","Information Technology, when implemented in healthcare, has the potential to radically improve the quality and efficiency of services being made available to patients. With the advent of mobile computing and wireless sensor networks, data acquisition and processing has become much faster and less expensive. Since there is an increase in possible software attacks on privacy and safety of health applications, safety and reliability of the sensor data is an important issue that needs to be addressed in this field. In this paper, a unique design of a secure sensor node prototype has been proposed and implemented, which communicates over Bluetooth using RC4 encryption algorithm between a mobile phone and their monitoring equipment. The design uses an accelerometer based sensor, which can be used as a prototype for a body sensor for fall detection in elderly people [1]. The data from the sensor is processed, encrypted and wirelessly communicated by Raspberry Pi (a Single Board Computer) to a mobile phone. The security issues have been addressed in two ways. Firstly, the loss of data is prevented by introducing a wired connection between the Raspberry Pi and the accelerometer based sensor. Secondly, a secure data communication is ensured by encrypting the sensor data using an encryption key sent from the mobile phone using Bluetooth. Our prototype, can be used to investigate and design several new sensor nodes with different interfaces, encryption and compression algorithms. The future work extends the application of this secure sensor node to the design of the body sensor module.","","978-1-4799-1205-6","10.1109/MSPCT.2013.6782081","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6782081","Secure Sensor Node;Raspberry Pi;Single Board Computer;Accelerometer;12C;Bluez;Cryptography;RC4;Smartphone","Prototypes;Bluetooth;Encryption;Accelerometers;Mobile handsets;Computers","","19","","10","IEEE","22 May 2014","23-25 Nov. 2013","23-25 Nov. 2013","IEEE","IEEE Conferences"
